2001,3,5,77.68,51000
2001,3,18,110.14,63000
2001,1,14,46.73,21000
2001,3,19,77.68,49500
2001,1,9,46.73,22000
1994,2,2,64.28,32000
2001,3,20,110.14,58000
2001,3,4,110.14,63000
2001,3,1,110.14,55000
2004,3,4,80.04,26500
2002,3,18,109.14,58000
2003,3,1,96.58,45000
2001,3,2,110.14,58000
1997,4,20,127.53,49000
2001,3,4,77.68,49000
1994,2,12,51.55,27000
2000,3,1,82.15,24000
2001,3,8,77.68,51000
2000,3,1,82.15,32500
1994,2,12,46.57,23000
2004,3,4,80.04,26500
2001,3,2,110.14,58000
1999,4,17,141.89,60000
2002,3,18,109.14,58000
2001,4,2,148.75,65000
2006,2,4,69.81,29000
1999,3,15,86.57,39000
1994,2,2,76.68,36000
2001,3,3,110.14,58000
1994,2,3,51.55,26500
2001,4,19,148.75,69000
1994,2,2,51.55,24500
2001,3,19,77.68,51000
2002,3,4,118.18,52000
2002,3,15,99.29,53000
1994,2,4,51.55,25500
2006,2,3,69.81,28300
1994,2,1,51.55,24500
1994,2,10,51.43,27500
1994,2,14,53.54,26000
2001,3,1,110.14,55000
1994,2,13,53.54,26000
1999,3,11,78.21,43000
2001,4,2,148.75,65000
2002,3,1,79.72,35000
2001,4,20,148.75,68000
2005,3,6,79.64,29500
1994,2,4,46.57,21500
2001,3,19,77.68,49500
2003,3,3,89.00,41000
2000,3,13,76.22,39500
1995,2,2,77.65,35000
2001,3,4,77.68,49000
1994,2,14,44.84,21000
2001,4,20,148.75,68000
1994,3,6,64.44,32500
1999,3,5,114.84,50000
2006,3,3,87.66,29700
1999,4,12,141.89,58000
2000,3,9,84.87,38000
1994,3,1,66.93,30000
1999,4,17,141.89,60000
1999,2,10,69.23,33500
2001,3,4,110.14,63000
2001,1,15,46.73,20800
2001,3,1,77.68,43500
2001,3,18,110.14,63000
2001,3,1,77.68,43500
1994,2,4,51.55,27000
1994,2,1,64.28,31500
2001,3,19,110.14,60500
2006,2,4,69.81,29000
1994,3,4,66.93,32500
2001,3,1,77.68,46000
1994,3,1,66.93,30000
2003,3,11,101.42,49000
2001,3,5,77.68,50000
1999,3,12,84.48,38500
1999,3,11,108.77,46000
2002,3,18,109.14,58000
1999,3,8,84.48,39000
2001,3,1,77.68,43500
1994,2,6,51.55,27900
2001,3,11,77.68,48500
2003,3,11,101.42,49000
2001,3,1,110.14,58000
1994,2,4,51.55,25500
1994,2,10,51.43,27000
2001,4,15,148.75,72000
1994,3,4,66.93,36000
1994,2,4,76.68,40000
2004,4,3,161.41,105000
2004,4,3,164.43,110000
2004,4,2,142.86,90000
1994,2,13,51.55,26000
2001,3,20,110.14,58000
2001,3,5,77.68,51000
2002,3,1,79.72,35000
2001,4,14,148.75,71000
1999,2,12,69.32,38000
1999,3,2,77.15,34000
1999,3,3,83.04,43000
1994,2,12,64.28,33500
2001,1,15,46.73,21500
2001,3,8,77.68,51000
2001,1,11,46.73,22000
1994,3,6,64.44,33500
1994,3,2,64.44,31000
2001,3,7,77.68,50000
2001,4,2,148.75,65000
1994,2,1,51.55,25000
2002,3,5,99.29,53000
2001,3,8,77.68,50000
2000,3,5,80.38,37500
1994,3,6,64.44,32500
1994,2,13,53.54,27000
2003,3,1,96.58,45000
1994,2,12,46.57,23000
1994,2,2,51.55,24500
1994,2,10,51.43,27500
2001,3,3,77.68,46500
2001,3,5,77.68,51000
1994,2,5,44.84,23000
2002,3,7,109.14,58000
1999,3,2,108.77,44000
1994,2,5,76.68,35000
1994,2,4,46.57,22000
2001,3,16,110.14,61500
2001,3,16,77.68,49000
1994,2,2,51.43,23500
1994,3,6,66.93,33000
2001,3,9,110.14,61500
2001,4,2,148.75,64500
1994,2,14,76.68,41000
1994,2,2,76.68,36000
1994,2,1,46.57,21000
1994,2,1,46.57,21000
1994,3,2,66.93,31500
1999,3,3,77.15,35000
2003,2,3,68.00,26000
2001,3,16,110.14,63000
2001,3,4,77.68,49000
1999,3,2,77.15,34000
2001,3,19,77.68,51000
2001,4,2,148.75,64500
2002,3,15,99.29,53000
2001,3,19,77.68,51000
1994,3,6,64.44,33500
1994,2,1,46.57,21000
1997,2,12,81.38,28000
